	finished	start_time	finish_time	comment	ID	cont_url	line1_url	line2_url	out_url
0	True	04:19 Wed 19/04	12:54 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925372393	./Data/real_data/00-B-2925372393/cont.dat	./Data/real_data/00-B-2925372393/MGII.dat	./Data/real_data/00-B-2925372393/CIV.dat	./Data/real_data/00-B-2925372393/
1	True	04:19 Wed 19/04	10:50 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925373860	./Data/real_data/01-B-2925373860/cont.dat	./Data/real_data/01-B-2925373860/MGII.dat	./Data/real_data/01-B-2925373860/CIV.dat	./Data/real_data/01-B-2925373860/
2	True	04:19 Wed 19/04	10:55 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925375402	./Data/real_data/02-B-2925375402/cont.dat	./Data/real_data/02-B-2925375402/MGII.dat	./Data/real_data/02-B-2925375402/CIV.dat	./Data/real_data/02-B-2925375402/
3	True	04:19 Wed 19/04	07:45 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925420688	./Data/real_data/03-B-2925420688/cont.dat	./Data/real_data/03-B-2925420688/MGII.dat	./Data/real_data/03-B-2925420688/CIV.dat	./Data/real_data/03-B-2925420688/
4	True	07:46 Wed 19/04	11:03 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925515125	./Data/real_data/04-B-2925515125/cont.dat	./Data/real_data/04-B-2925515125/MGII.dat	./Data/real_data/04-B-2925515125/CIV.dat	./Data/real_data/04-B-2925515125/
5	True	10:40 Wed 19/04	14:11 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925523772	./Data/real_data/05-B-2925523772/cont.dat	./Data/real_data/05-B-2925523772/MGII.dat	./Data/real_data/05-B-2925523772/CIV.dat	./Data/real_data/05-B-2925523772/
6	True	10:51 Wed 19/04	17:42 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925551147	./Data/real_data/06-B-2925551147/cont.dat	./Data/real_data/06-B-2925551147/MGII.dat	./Data/real_data/06-B-2925551147/CIV.dat	./Data/real_data/06-B-2925551147/
7	True	10:55 Wed 19/04	15:08 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925552152	./Data/real_data/07-A-2925552152/cont.dat	./Data/real_data/07-A-2925552152/Hbeta.dat	./Data/real_data/07-A-2925552152/MGII.dat	./Data/real_data/07-A-2925552152/
8	True	11:03 Wed 19/04	13:31 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925606181	./Data/real_data/08-B-2925606181/cont.dat	./Data/real_data/08-B-2925606181/MGII.dat	./Data/real_data/08-B-2925606181/CIV.dat	./Data/real_data/08-B-2925606181/
9	True	12:02 Wed 19/04	18:03 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2925609647	./Data/real_data/09-B-2925609647/cont.dat	./Data/real_data/09-B-2925609647/MGII.dat	./Data/real_data/09-B-2925609647/CIV.dat	./Data/real_data/09-B-2925609647/
